timestamp,TimeUS,X,Y,Z
1746304113.70300007,45856647,-0.012599263340234756,0.012013730593025684,0.012042265385389328
1746304113.70500016,45858647,-0.01263696514070034,0.012049422599375248,0.012042183429002762
1746304113.70799994,45861647,-0.012693610973656178,0.012103050015866756,0.012042057700455189
1746304113.71000004,45863647,-0.012498216703534126,0.01191761251538992,0.012041660957038403
1746304113.71300006,45866647,-0.012554499320685863,0.011970936320722103,0.01204153336584568
1746304113.71500015,45868647,-0.012592073529958725,0.012006553821265697,0.012041446752846241
1746304113.71799994,45871647,-0.012648528441786766,0.012060064822435379,0.012041309848427773
1746304113.72000003,45873647,-0.012686232104897499,0.012095795013010502,0.012041216716170311
1746304113.72300005,45876647,-0.012519198469817638,0.01193742360919714,0.012040769681334496
1746304113.72500014,45878647,-0.01255668606609106,0.011972949840128422,0.012040680274367332
1746304113.72800016,45881647,-0.0126130236312747,0.01202632300555706,0.012040546163916588
1746304113.73000002,45883647,-0.012650663033127785,0.012061954475939274,0.012040458619594574
1746304113.73300004,45886647,-0.012707234360277653,0.012115475721657276,0.012040328234434128
1746304113.73500013,45888647,-0.012531437911093235,0.011948731727898121,0.012039940804243088
1746304113.73800015,45891647,-0.012587693519890308,0.012001928873360157,0.012039802968502045
1746304113.74000001,45893647,-0.012625260278582573,0.012037437409162521,0.01203971728682518
1746304113.74300003,45896647,-0.012681717984378338,0.012090783566236496,0.012039585039019585
1746304113.74500012,45898647,-0.012719433754682541,0.012126400135457516,0.012039488181471825
1746304113.74800014,45901647,-0.012571591883897781,0.011986009776592255,0.01203905325382948
1746304113.75000000,45903647,-0.012609128840267658,0.012021448463201523,0.012038947083055973
1746304113.75300002,45906647,-0.01266554743051529,0.01207469031214714,0.012038793414831161
1746304113.75500011,45908647,-0.01270323060452938,0.012110249139368534,0.012038694694638252
1746304113.75800014,45911647,-0.012759843841195107,0.012163684703409672,0.01203854475170374
1746304113.75999999,45913647,-0.012602631002664566,0.012014457955956459,0.01203817967325449
1746304113.76300001,45916647,-0.012658958323299885,0.012067648582160473,0.012038018554449081
1746304113.76500010,45918647,-0.01269657164812088,0.012103172950446606,0.012037903070449829
1746304113.76800013,45921647,-0.012753081507980824,0.012156558223068714,0.01203772984445095
1746304113.76999998,45923647,-0.012790813110768795,0.01219222042709589,0.012037623673677444
1746304113.77300000,45926647,-0.012661012820899487,0.012068960815668106,0.012037212029099464
1746304113.77500010,45928647,-0.012698600068688393,0.012104477733373642,0.012037087231874466
1746304113.77800012,45931647,-0.012755090370774269,0.012157846242189407,0.012036905623972416
1746304113.77999997,45933647,-0.012792817316949368,0.01219349168241024,0.012036794796586037
1746304113.78299999,45936647,-0.01284950040280819,0.012247061356902122,0.012036645784974098
1746304113.78500009,45938647,-0.012709775939583778,0.012114432640373707,0.012036320753395557
1746304113.78800011,45941647,-0.01276625320315361,0.01216778252273798,0.012036186642944813
1746304113.78999996,45943647,-0.012803972698748112,0.012203396297991276,0.012036110274493694
1746304113.79299998,45946647,-0.012860658578574657,0.012256891466677189,0.012036001309752464
1746304113.79500008,45948647,-0.01289853174239397,0.01229261513799429,0.012035924941301346
1746304113.79800010,45951647,-0.01278587244451046,0.012185459956526756,0.012035596184432507
1746304113.79999995,45953647,-0.012823617085814476,0.012221056967973709,0.012035518884658813
1746304113.80299997,45956647,-0.012880314141511917,0.012274549342691898,0.01203540712594986
1746304113.80500007,45958647,-0.01291817519813776,0.012310275807976723,0.012035337276756763
1746304113.80800009,45961647,-0.012975072488188744,0.012363947927951813,0.012035236693918705
1746304113.80999994,45963647,-0.012692885473370552,0.012096133083105087,0.012034988030791283
1746304113.81299996,45966647,-0.012749233283102512,0.012149247340857983,0.01203487440943718
1746304113.81500006,45968647,-0.012786862440407276,0.01218471024185419,0.012034785933792591
1746304113.81800008,45971647,-0.012843388132750988,0.012237987481057644,0.012034643441438675
1746304113.82000017,45973647,-0.01288111787289381,0.012273562140762806,0.012034544721245766
1746304113.82299995,45976647,-0.012630362063646317,0.012035591527819633,0.012034210376441479
1746304113.82500005,45978647,-0.012667720206081867,0.012070818804204464,0.012034106999635696
1746304113.82800007,45981647,-0.012723836116492748,0.012123750522732735,0.012033963575959206
1746304113.83000016,45983647,-0.012761293910443783,0.012159103527665138,0.012033872306346893
1746304113.83299994,45986647,-0.012817560695111752,0.012212214060127735,0.012033742852509022
1746304113.83500004,45988647,-0.01256101205945015,0.01196887157857418,0.012033495120704174
1746304113.83800006,45991647,-0.012616734951734543,0.01202149037271738,0.012033384293317795
1746304113.84000015,45993647,-0.012653941288590431,0.012056616134941578,0.012033319100737572
1746304113.84299994,45996647,-0.012709842063486576,0.012109378352761269,0.012033226899802685
1746304113.84500003,45998647,-0.012747171334922314,0.012144606560468674,0.012033160775899887
1746304113.84800005,46001647,-0.012521014548838139,0.011929964646697044,0.012032896280288696
1746304113.85000014,46003647,-0.012558013200759888,0.01196487620472908,0.012032825499773026
1746304113.85300016,46006647,-0.012613605707883835,0.012017318978905678,0.012032726779580116
1746304113.85500002,46008647,-0.012650728225708008,0.012052332982420921,0.012032663449645042
1746304113.85800004,46011647,-0.012706510722637177,0.01210493128746748,0.012032582424581051
1746304113.86000013,46013647,-0.012473851442337036,0.011884169653058052,0.01203237660229206
1746304113.86300015,46016647,-0.012529188767075539,0.011936320923268795,0.012032289057970047
1746304113.86500001,46018647,-0.012566146440804005,0.01197114959359169,0.012032226659357548
1746304113.86800003,46021647,-0.012621676549315453,0.012023481540381908,0.01203212421387434
