timestamp,TimeUS,Th0,UR,UP,UY
1746304113.70300007,45856647,0.0,-0.000842157518491149,-0.0007317740237340331,-0.001015269779600203
1746304113.70500016,45858647,0.0,-0.0008406028500758111,-0.0007295308168977499,-0.0010153092443943024
1746304113.70799994,45861647,0.0,-0.0008427040884271264,-0.0007186079164966941,-0.0010154190240427852
1746304113.71000004,45863647,0.0,-0.000846922630444169,-0.0007087509147822857,-0.0010154902702197433
1746304113.71300006,45866647,0.0,-0.0008534291991963983,-0.0007115204352885485,-0.0010155868949368596
1746304113.71500015,45868647,0.0,-0.0008597340784035623,-0.0007234484073705971,-0.0010155743220821023
1746304113.71799994,45871647,0.0,-0.0008668613154441118,-0.0007373621338047087,-0.0010152600007131696
1746304113.72000003,45873647,0.0,-0.00087045191321522,-0.0007396035362035036,-0.0010149236768484116
1746304113.72300005,45876647,0.0,-0.0008746905368752778,-0.0007375861750915647,-0.0010143059771507978
1746304113.72500014,45878647,0.0,-0.0008720559417270124,-0.0007388962549157441,-0.0010136066703125834
1746304113.72800016,45881647,0.0,-0.000872221018653363,-0.0007416523876599967,-0.0010123476386070251
1746304113.73000002,45883647,0.0,-0.000873030920047313,-0.0007401515613310039,-0.0010114711476489902
1746304113.73300004,45886647,0.0,-0.0008717359742149711,-0.0007482790970243514,-0.001010201289318502
1746304113.73500013,45888647,0.0,-0.0008723873179405928,-0.0007532566669397056,-0.0010094863828271627
1746304113.73800015,45891647,0.0,-0.0008705995278432965,-0.000763298012316227,-0.0010088963899761438
1746304113.74000001,45893647,0.0,-0.0008733509457670152,-0.0007653796346858144,-0.0010086892871186137
1746304113.74300003,45896647,0.0,-0.0008785504614934325,-0.0007661257986910641,-0.0010087514529004693
1746304113.74500012,45898647,0.0,-0.0008839117945171893,-0.000764479220379144,-0.0010088897543027997
1746304113.74800014,45901647,0.0,-0.0008955507073551416,-0.0007549522561021149,-0.001009109546430409
1746304113.75000000,45903647,0.0,-0.0009004294988699257,-0.0007482377695851028,-0.0010091537842527032
1746304113.75300002,45906647,0.0,-0.0008959692204371095,-0.0007377967704087496,-0.0010090455180034041
1746304113.75500011,45908647,0.0,-0.000887516769580543,-0.0007286666659638286,-0.001008873339742422
1746304113.75800014,45911647,0.0,-0.0008733309805393219,-0.0007186257280409336,-0.0010084948735311627
1746304113.75999999,45913647,0.0,-0.0008674756973050535,-0.0007224369328469038,-0.0010083327069878578
1746304113.76300001,45916647,0.0,-0.0008641847525723279,-0.000728102691937238,-0.0010083464439958334
1746304113.76500010,45918647,0.0,-0.0008615441620349884,-0.0007301666773855686,-0.0010084365494549274
1746304113.76800013,45921647,0.0,-0.0008594001410529017,-0.0007305385079234838,-0.0010087116388604045
1746304113.76999998,45923647,0.0,-0.0008598342537879944,-0.0007301707519218326,-0.0010088247945532203
1746304113.77300000,45926647,0.0,-0.0008653601980768144,-0.0007322923047468066,-0.0010088632116094232
1746304113.77500010,45928647,0.0,-0.0008685151697136462,-0.0007408203091472387,-0.0010088500566780567
1746304113.77800012,45931647,0.0,-0.0008727545500732958,-0.0007559462101198733,-0.0010089502902701497
1746304113.77999997,45933647,0.0,-0.0008803206728771329,-0.0007622091216035187,-0.001009119674563408
1746304113.78299999,45936647,0.0,-0.0008916872902773321,-0.0007690617348998785,-0.0010096068726852536
1746304113.78500009,45938647,0.0,-0.0008925695437937975,-0.0007675815722905099,-0.0010099932551383972
1746304113.78800011,45941647,0.0,-0.0008890973986126482,-0.000761290721129626,-0.0010105253895744681
1746304113.78999996,45943647,0.0,-0.0008861644309945405,-0.0007625487050972879,-0.0010108507703989744
1746304113.79299998,45946647,0.0,-0.0008754119626246393,-0.0007596843643113971,-0.0010112576419487596
1746304113.79500008,45948647,0.0,-0.0008696216973476112,-0.0007548597059212625,-0.0010114128235727549
1746304113.79800010,45951647,0.0,-0.0008622533059678972,-0.0007436501327902079,-0.0010112849995493889
1746304113.79999995,45953647,0.0,-0.0008588688215240836,-0.0007413685088977218,-0.0010110881412401795
1746304113.80299997,45956647,0.0,-0.0008535509114153683,-0.0007460177293978631,-0.0010106078116223216
1746304113.80500007,45958647,0.0,-0.0008494534413330257,-0.0007473854348063469,-0.0010101905791088939
1746304113.80800009,45961647,0.0,-0.0008398721111007035,-0.0007365112542174757,-0.0010095947654917836
1746304113.80999994,45963647,0.0,-0.000829357304610312,-0.0007249305490404367,-0.0010092315496876836
1746304113.81299996,45966647,0.0,-0.0008350667194463313,-0.0007312176749110222,-0.001008762395940721
1746304113.81500006,45968647,0.0,-0.0008291358826681972,-0.0007276232936419547,-0.0010085235117003322
1746304113.81800008,45971647,0.0,-0.0008326126262545586,-0.0007214211509563029,-0.0010082849767059088
1746304113.82000017,45973647,0.0,-0.000839314772747457,-0.0007144421688281,-0.001008127466775477
1746304113.82299995,45976647,0.0,-0.000845927803311497,-0.0007061539217829704,-0.0010078323539346457
1746304113.82500005,45978647,0.0,-0.0008544778684154153,-0.0007023387588560581,-0.0010073098819702864
1746304113.82800007,45981647,0.0,-0.0008681799517944455,-0.0006999010220170021,-0.001006053644232452
1746304113.83000016,45983647,0.0,-0.0008764845551922917,-0.0007027626852504909,-0.001005089026875794
1746304113.83299994,45986647,0.0,-0.000879558443557471,-0.000709770480170846,-0.001003506244160235
1746304113.83500004,45988647,0.0,-0.000879518745932728,-0.0007122998940758407,-0.0010024652583524585
1746304113.83800006,45991647,0.0,-0.0008775375317782164,-0.0007067004917189479,-0.001001241966150701
1746304113.84000015,45993647,0.0,-0.0008748245891183615,-0.0007031325367279351,-0.001000674208626151
1746304113.84299994,45996647,0.0,-0.0008656427962705493,-0.0007054827874526381,-0.001000459073111415
1746304113.84500003,45998647,0.0,-0.0008573011145927012,-0.0007140683010220528,-0.0010005853837355971
1746304113.84800005,46001647,0.0,-0.0008482225821353495,-0.0007213822100311518,-0.0010011420818045735
1746304113.85000014,46003647,0.0,-0.0008458289667032659,-0.0007243593572638929,-0.0010015182197093964
1746304113.85300016,46006647,0.0,-0.0008366408874280751,-0.0007200341206043959,-0.001002217992208898
1746304113.85500002,46008647,0.0,-0.0008323693764396012,-0.0007147683063521981,-0.0010027475655078888
1746304113.85800004,46011647,0.0,-0.0008327631512656808,-0.0007115461048670113,-0.0010036505991593003
1746304113.86000013,46013647,0.0,-0.0008368028793483973,-0.0007154751801863313,-0.001004168065264821
1746304113.86300015,46016647,0.0,-0.00083703245036304,-0.00071557960473001,-0.001004610094241798
1746304113.86500001,46018647,0.0,-0.0008386007393710315,-0.0007144526462070644,-0.001004817197099328
1746304113.86800003,46021647,0.0,-0.0008451167377643287,-0.0007087143021635711,-0.0010049737757071853
1746304113.87000012,46023647,0.0,-0.000845877977553755,-0.0007082332158461213,-0.001005009631626308
1746304113.87300014,46026647,0.0,-0.0008523794240318239,-0.0007063261000439525,-0.0010048222029581666
1746304113.87500000,46028647,0.0,-0.0008603743626736104,-0.0007069571875035763,-0.0010045805247500539
1746304113.87800002,46031647,0.0,-0.0008656164282001555,-0.0007138052023947239,-0.0010040488559752703
